Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2018,Afghanistan,AFG,72228,281,2106893,-,0,0,489854
2018,Egypt,EGY,246746,68168,0,-,5,0,0
2018,Argentina,ARG,3442,6102,0,127152,0,0,410
2018,Armenia,ARM,17966,105,0,-,848,0,0
2018,Australia,AUS,56934,60645,0,-,132,0,0
2018,Austria,AUT,128779,37347,0,-,1062,0,0
2018,Azerbaijan,AZE,1130,209,620423,-,3585,0,0
2018,Belgium,BEL,42158,19550,0,-,7695,0,0
2018,Belarus,BLR,2225,184,0,-,6025,0,0
2018,Brazil,BRA,11304,152670,0,39771,0,0,0
2018,Bosnia and Herzegovina,BIH,5227,1003,96830,-,90,0,48907
2018,Bulgaria,BGR,19906,1560,0,-,92,0,0
2018,Canada,CAN,114101,78766,0,-,3790,0,0
2018,China,CHN,321758,583,0,-,0,0,0
2018,Chile,CHL,2026,11993,0,285122,0,0,1989
2018,Colombia,COL,294,2851,7816473,1171552,11,0,0
2018,Cuba,CUB,287,24,0,-,0,0,0
2018,Cyprus,CYP,11002,10267,0,-,0,0,6000
2018,Czechia,CZE,2186,1910,0,-,1502,0,0
2018,Denmark,DNK,36623,2675,0,-,8236,0,0
2018,Dominican Rep.,DOM,164,327,0,26428,0,0,0
2018,Ecuador,ECU,101550,17044,0,256265,0,0,0
2018,Estonia,EST,319,30,0,-,77877,0,0
2018,Fiji,FJI,0,17,0,-,0,0,0
2018,Finland,FIN,22287,3264,0,-,2759,0,0
2018,France,FRA,368345,89055,0,-,1493,0,0
2018,United Kingdom of Great Britain and Northern Ireland,GBR,126708,45234,0,-,125,0,0
2018,Georgia,GEO,1987,677,282382,-,566,0,0
2018,Germany,DEU,1063835,369239,0,-,14779,0,0
2018,Greece,GRC,61446,76057,0,-,198,0,0
2018,Croatia,HRV,787,198,0,-,2886,0,4376
2018,Hungary,HUN,6019,120,0,-,144,0,0
2018,Iceland,ISL,549,437,0,-,69,0,0
2018,India,IND,195887,11938,0,-,0,0,0
2018,Indonesia,IDN,10786,3196,0,-,0,0,0
2018,Ireland,IRL,6012,7159,0,-,99,0,0
2018,Iran (Islamic Rep. of),IRN,979435,33,0,-,0,0,0
2018,Iraq,IRQ,283018,14013,1802832,-,47515,0,6
2018,Italy,ITA,189227,105606,0,-,732,0,0
2018,Jordan,JOR,715298,52536,0,-,0,0,1386
2018,Japan,JPN,1893,29040,0,-,709,0,0
2018,Kazakhstan,KAZ,568,190,0,-,7690,0,0
2018,Kenya,KEN,421243,50458,0,-,18500,0,0
2018,Kyrgyzstan,KGZ,329,105,0,-,548,0,0
2018,Rep. of Korea,KOR,2890,19827,0,-,197,0,0
2018,Libya,LBY,8792,47403,170491,-,0,0,0
2018,Lebanon,LBN,949653,16404,0,-,0,0,3518
2018,Liechtenstein,LIE,166,70,0,-,0,0,0
2018,Sri Lanka,LKA,796,744,35473,-,0,0,0
2018,Lithuania,LTU,1731,273,0,-,3039,0,0
2018,Luxembourg,LUX,2020,1485,0,-,83,0,0
2018,Latvia,LVA,664,45,0,-,224844,0,0
2018,Madagascar,MDG,39,90,0,-,0,0,0
2018,Mauritania,MRT,83183,1126,0,-,0,0,0
2018,North Macedonia,MKD,413,5,0,-,571,0,0
2018,Rep. of Moldova,MDA,409,93,0,-,4451,0,0
2018,Malaysia,MYS,121305,41801,0,-,9631,0,80000
2018,Mongolia,MNG,5,0,0,-,17,0,5
2018,Morocco,MAR,5932,1829,0,-,0,0,0
2018,Malta,MLT,8579,1860,0,-,11,0,0
2018,Nepal,NPL,20804,51,0,-,0,0,542
2018,Netherlands (Kingdom of the),NLD,101824,12303,0,-,1951,0,0
2018,Nigeria,NGA,34727,940,2167925,-,0,0,0
2018,Norway,NOR,57004,2246,0,-,2809,0,0
2018,Nauru,NRU,964,416,0,-,0,0,0
2018,New Zealand,NZL,1545,446,0,-,0,0,0
2018,Pakistan,PAK,1404008,5170,96384,-,0,0,0
2018,Panama,PAN,2501,13602,0,94400,0,0,0
2018,Philippines,PHL,631,238,77651,-,1068,0,68
2018,Papua New Guinea,PNG,10022,151,0,-,0,0,0
2018,Poland,POL,12495,3059,0,-,10825,0,0
2018,Portugal,PRT,2130,85,0,-,14,0,0
2018,Romania,ROU,4134,1476,0,-,227,0,0
2018,Russian Federation,RUS,77382,1361,0,-,75679,0,0
2018,Senegal,SEN,14359,1699,0,-,0,0,0
2018,Spain,ESP,20437,78685,0,-,2455,0,0
2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,30944,219,215794,-,2052,0,0
2018,Sudan,SDN,1078280,17619,1864195,-,0,0,3725
2018,Slovakia,SVK,938,17,0,-,1523,0,0
2018,Slovenia,SVN,746,245,0,-,5,0,0
2018,Sweden,SWE,248210,37892,0,-,31819,0,0
2018,Switzerland,CHE,104011,14776,0,-,49,0,0
2018,Syrian Arab Rep.,SYR,18817,18631,6183920,-,160000,0,7879
2018,Thailand,THA,102234,934,0,-,478843,0,98
2018,Tajikistan,TJK,2654,315,0,-,4616,0,0
2018,Turkmenistan,TKM,21,0,0,-,4714,0,0
2018,Türkiye,TUR,3681688,311699,0,-,117,0,0
2018,United Arab Emirates,ARE,1167,6500,0,-,0,0,97
2018,Ukraine,UKR,2606,6389,1500002,-,35650,0,0
2018,United States of America,USA,313242,718992,0,-,0,0,0
2018,Uzbekistan,UZB,13,0,0,-,79942,0,0
2018,Venezuela (Bolivarian Republic of),VEN,67283,142,0,-,0,0,0
2018,Mexico,MEX,16530,23833,0,42104,13,0,82993
2018,Albania,ALB,132,159,0,-,4160,0,76
2018,Congo,COG,37491,9176,138000,-,0,0,12399
2018,Montenegro,MNE,727,162,0,-,145,0,12293
2018,South Africa,ZAF,89285,184193,0,-,0,0,0
2018,Tunisia,TUN,1061,250,0,-,0,0,8
2018,Yemen,YEM,264359,8805,2144719,-,0,0,10
2018,Burundi,BDI,71501,5658,31909,-,974,0,787
2018,Botswana,BWA,2044,268,0,-,0,0,6
2018,Central African Rep.,CAF,6652,397,640970,-,0,0,0
2018,Cameroon,CMR,380327,8092,668494,-,0,0,25
2018,Dem. Rep. of the Congo,COD,529065,5770,4516866,-,0,0,0
2018,Costa Rica,CRI,4531,32595,0,-,82,0,40
2018,Mozambique,MOZ,4910,21133,0,-,0,0,0
2018,Peru,PER,2506,230845,0,428214,0,0,0
2018,Rwanda,RWA,145359,423,0,-,0,0,3734
2018,Eswatini,SWZ,874,739,0,-,0,0,0
2018,Uruguay,URY,379,6404,0,11605,0,0,0
2018,Zambia,ZMB,49877,3300,0,-,0,0,22842
2018,Bahrain,BHR,262,58,0,-,0,0,0
2018,Ethiopia,ETH,903226,2136,2615800,-,0,0,452
2018,Ghana,GHA,11896,1312,0,-,0,0,0
2018,"China, Hong Kong SAR",HKG,128,0,0,-,0,0,0
2018,Israel,ISR,18554,35569,0,-,42,0,0
2018,Kuwait,KWT,671,983,0,-,92000,0,16
2018,Qatar,QAT,189,91,0,-,1200,0,0
2018,Somalia,SOM,16738,16361,2648001,-,0,0,380
2018,Trinidad and Tobago,TTO,784,9937,0,31843,0,0,15
2018,Uganda,UGA,1165646,25269,0,-,0,0,180000
2018,Angola,AGO,39856,30128,0,-,0,0,0
2018,Benin,BEN,1167,308,0,-,0,0,0
2018,Burkina Faso,BFA,25120,40,47030,-,0,0,0
2018,Chad,TCD,451203,3467,165314,-,0,0,36718
2018,Gabon,GAB,686,82,0,-,0,0,0
2018,Guinea-Bissau,GNB,4853,21,0,-,0,0,0
2018,Guinea,GIN,4294,1578,0,-,0,0,0
2018,Cote d'Ivoire,CIV,1808,198,0,-,692000,0,104
2018,Mali,MLI,26538,917,120298,-,0,0,0
2018,Malawi,MWI,13783,23135,0,-,0,0,320
2018,Namibia,NAM,2394,1516,0,-,0,0,7
2018,South Sudan,SSD,291838,2535,1878154,-,0,0,10000
2018,United Rep. of Tanzania,TZA,278322,39659,0,-,0,0,19024
2018,Togo,TGO,12335,694,0,-,0,0,0
2018,Zimbabwe,ZWE,7795,10207,0,-,0,0,853
2018,Algeria,DZA,94341,8910,0,-,0,0,0
2018,Paraguay,PRY,260,350,0,803,0,0,0
2018,Gambia,GMB,4027,349,0,-,0,0,0
2018,Niger,NER,175413,3547,156137,-,0,0,27142
2018,Saudi Arabia,SAU,263,2167,0,-,70000,0,0
2018,Bolivia (Plurinational State of),BOL,802,34,0,-,0,0,0
2018,Guatemala,GTM,380,251,0,-,0,0,110600
2018,Guyana,GUY,25,12,0,36400,0,0,0
2018,Liberia,LBR,9103,40,0,-,0,0,0
2018,Lesotho,LSO,56,36,0,-,0,0,0
2018,Mauritius,MUS,16,0,0,-,0,0,0
2018,Aruba,ABW,0,407,0,15602,0,0,0
2018,Bahamas,BHS,14,24,0,-,0,0,0
2018,Curacao ,CUW,99,342,0,25686,0,0,0
2018,Nicaragua,NIC,321,126,0,-,0,0,357
2018,El Salvador,SLV,44,16,71501,-,0,0,4700
2018,Belize,BLZ,29,3305,0,-,0,0,2774
2018,Cayman Islands,CYM,34,27,0,-,0,0,0
2018,Jamaica,JAM,13,21,0,-,0,0,0
2018,Saint Kitts and Nevis,KNA,5,0,0,-,0,0,0
2018,Suriname,SUR,41,206,0,-,0,0,0
2018,Turks and Caicos Islands,TCA,5,0,0,-,0,0,0
2018,Djibouti,DJI,18293,10479,0,-,0,0,0
2018,Eritrea,ERI,2252,0,0,-,0,0,21
2018,Honduras,HND,28,55,174001,-,0,0,5200
2018,Sierra Leone,SLE,591,0,0,-,0,0,0
2018,Solomon Islands,SLB,0,5,0,-,0,0,0
2018,Sint Maarten (Dutch part),SXM,5,0,0,-,0,0,0
2018,Oman,OMN,310,254,0,-,0,0,0
2018,Samoa,WSM,5,0,0,-,0,0,0
2018,Bangladesh,BGD,906640,39,0,-,906635,0,0
2018,Myanmar,MMR,0,0,370306,-,620939,0,0
2018,Brunei Darussalam,BRN,0,0,0,-,20863,0,0
2018,Cambodia,KHM,0,0,0,-,57444,0,0
2018,Cabo Verde,CPV,0,0,0,-,115,0,0
2018,Haiti,HTI,5,0,0,-,2992,0,0
2018,Singapore,SGP,0,0,0,-,1303,0,0
2018,Viet Nam,VNM,0,0,0,-,34110,0,0
2018,Barbados,BRB,0,5,0,-,0,0,0
2018,Monaco,MCO,25,0,0,-,0,0,0
2019,Afghanistan,AFG,72227,247,2553390,-,0,0,447093
2019,Egypt,EGY,258391,66309,0,-,5,0,0
2019,Argentina,ARG,3857,7981,0,173343,0,0,443
2019,Armenia,ARM,17980,158,0,-,961,0,0
2019,Australia,AUS,58529,77362,0,-,6000,0,0
2019,Austria,AUT,135951,26696,0,-,1132,0,0
2019,Azerbaijan,AZE,1109,181,652326,-,3585,0,0
2019,Belgium,BEL,61662,10862,0,-,11208,0,10933
2019,Belarus,BLR,2725,131,0,-,6466,0,0
2019,Brazil,BRA,32844,207294,0,123507,7,0,0
2019,Bosnia and Herzegovina,BIH,5241,725,96421,-,72,0,53728
2019,Bulgaria,BGR,20438,1054,0,-,1142,0,0
2019,Canada,CAN,101757,97017,0,-,4985,0,0
2019,China,CHN,303379,644,0,-,0,0,0
2019,Chile,CHL,2046,8521,0,452712,0,0,2073
2019,Colombia,COL,634,9094,7976412,1771237,11,0,400000
2019,Cuba,CUB,233,32,0,-,0,0,0
2019,Cyprus,CYP,12311,18799,0,-,56,0,4000
2019,Czechia,CZE,2054,1632,0,-,1500,0,440
2019,Denmark,DNK,37533,1422,0,-,11682,0,0
2019,Dominican Rep.,DOM,164,561,0,33816,0,0,0
2019,Ecuador,ECU,104560,25002,0,374045,0,0,0
2019,Estonia,EST,331,33,0,-,75599,0,0
2019,Fiji,FJI,12,10,0,-,0,0,0
2019,Finland,FIN,23458,8308,0,-,3268,0,0
2019,France,FRA,407915,102140,0,-,1980,0,1521
2019,United Kingdom of Great Britain and Northern Ireland,GBR,133083,61947,0,-,4069,0,161
2019,Georgia,GEO,1355,1111,286216,-,559,0,593
2019,Germany,DEU,1146682,309231,0,-,26369,0,0
2019,Greece,GRC,80454,105684,0,-,5607,0,4734
2019,"China, Hong Kong SAR",HKG,128,0,0,-,0,0,0
2019,Croatia,HRV,916,454,0,-,2896,0,4027
2019,Hungary,HUN,5750,222,0,-,147,0,0
2019,Iceland,ISL,894,365,0,-,58,0,0
2019,India,IND,195103,12202,0,-,17730,0,0
2019,Indonesia,IDN,10287,3343,0,-,582,0,0
2019,Ireland,IRL,7795,7853,0,-,106,0,99
2019,Iran (Islamic Rep. of),IRN,979435,33,0,-,0,0,0
2019,Iraq,IRQ,273986,12938,1414632,-,47253,0,10
2019,Italy,ITA,207602,47030,0,-,15839,0,0
2019,Jordan,JOR,693668,51283,0,-,66,0,2117
2019,Japan,JPN,1463,29123,0,-,687,0,0
2019,Kazakhstan,KAZ,518,212,0,-,8386,0,0
2019,Kenya,KEN,438899,50829,0,-,18500,0,0
2019,Kyrgyzstan,KGZ,347,164,0,-,58,0,0
2019,Rep. of Korea,KOR,3196,25562,0,-,202,0,0
2019,Kuwait,KWT,686,1079,0,-,92020,0,20
2019,Libya,LBY,4730,40718,355672,-,0,0,0
2019,Lebanon,LBN,916141,12095,0,-,0,0,7875
2019,Liechtenstein,LIE,125,29,0,-,0,0,0
2019,Sri Lanka,LKA,1041,361,25110,-,0,0,0
2019,Lithuania,LTU,1822,408,0,-,2940,0,0
2019,Luxembourg,LUX,2548,1785,0,-,135,0,85
2019,Latvia,LVA,665,41,0,-,216851,0,0
2019,Madagascar,MDG,113,128,0,-,0,0,0
2019,North Macedonia,MKD,354,75,0,-,567,0,0
2019,Rep. of Moldova,MDA,417,94,0,-,3500,0,0
2019,Malaysia,MYS,129102,50619,0,-,108332,0,55000
2019,Montenegro,MNE,653,484,0,-,142,0,12275
2019,Morocco,MAR,6642,3079,0,-,0,0,0
2019,Malta,MLT,8908,3681,0,-,11,0,0
2019,Nepal,NPL,19570,57,0,-,0,0,534
2019,Netherlands (Kingdom of the),NLD,94417,15599,0,-,1951,0,0
2019,Nigeria,NGA,54157,1032,2195779,-,0,0,0
2019,Norway,NOR,53882,1507,0,-,5019,0,0
2019,Nauru,NRU,755,415,0,-,63,0,0
2019,New Zealand,NZL,1709,558,0,-,5,0,0
2019,Pakistan,PAK,1419596,8528,100680,-,0,0,0
2019,Panama,PAN,2536,17673,0,115768,0,0,0
2019,Philippines,PHL,680,319,178897,-,388,0,129734
2019,Papua New Guinea,PNG,9698,132,0,-,9,0,0
2019,Poland,POL,12658,4783,0,-,1328,0,0
2019,Portugal,PRT,2375,1057,0,-,50,0,14
2019,Romania,ROU,3860,916,0,-,290,0,192
2019,South Africa,ZAF,78395,188235,0,-,0,0,0
2019,Russian Federation,RUS,42413,1445,0,-,68251,0,0
2019,Senegal,SEN,14467,1791,0,-,0,0,0
2019,Spain,ESP,57751,133030,0,-,4251,0,4246
2019,Serbia and Kosovo: S/RES/1244 (1999),SRB,26427,274,214696,-,1951,0,5833
2019,Sudan,SDN,1055489,15541,1885782,-,0,0,3691
2019,Slovakia,SVK,965,5,0,-,1532,0,0
2019,Slovenia,SVN,741,308,0,-,5,0,5
2019,Sweden,SWE,253787,28006,0,-,53729,0,0
2019,Switzerland,CHE,110162,11200,0,-,47,0,0
2019,Syrian Arab Rep.,SYR,16213,12065,6146994,-,160000,0,30971
2019,Thailand,THA,97556,837,0,-,475007,0,119
2019,Tajikistan,TJK,3788,1413,0,-,7151,0,0
